state;action_reward;n_state
2099&0|608&0|12547&0|22420&0|8703&0|5774&0|15073&0|1499&0|9768&0|31300&0|12381&0|22500&0;19221&0|6069&0|870&0|13641&1;2099&0|608&0|12547&0|22420&0|8703&0|5774&0|15073&0|1499&0|9768&0|31300&0|12381&0|22500&0|19221&0|6069&0|870&0|13641&1
11611&0|6825&0|11628&0|996&0|8731&0|10882&0|4509&0|17519&0|7621&0|8710&0|3568&0|7696&1;17526&0|14780&0|3608&0|3488&0;11611&0|6825&0|11628&0|996&0|8731&0|10882&0|4509&0|17519&0|7621&0|8710&0|3568&0|7696&1|17526&0|14780&0|3608&0|3488&0
1254&0|1274&0|1847&0|20781&0|1375&0|1455&0|7887&0|3325&0|10496&0|8832&0|7258&0|1920&0;1707&0|20745&1|2096&0|20750&0;1254&0|1274&0|1847&0|20781&0|1375&0|1455&0|7887&0|3325&0|10496&0|8832&0|7258&0|1920&0|1707&0|20745&1|2096&0|20750&0
8707&0|1426&0|5765&0|2055&0|2063&0|3677&0|5238&0|3374&0|26989&0|17339&0|15636&1|2553&0;13637&0|3542&0|6076&0|7872&0;8707&0|1426&0|5765&0|2055&0|2063&0|3677&0|5238&0|3374&0|26989&0|17339&0|15636&1|2553&0|13637&0|3542&0|6076&0|7872&0
9705&0|9519&0|6416&0|7519&0|35&0|6416&0|3492&0|57&0|4505&0|157&0|7818&0|15908&0;15961&0|15889&0|7624&0|15921&0;9705&0|9519&0|6416&0|7519&0|35&0|6416&0|3492&0|57&0|4505&0|157&0|7818&0|15908&0|15961&0|15889&0|7624&0|15921&0
16&0|7562&0|69&0|22226&0|32464&0|32460&0|24504&0|32461&0|6299&0|4750&0|3872&0|20&0;14419&0|7389&0|9241&1|15496&0;16&0|7562&0|69&0|22226&0|32464&0|32460&0|24504&0|32461&0|6299&0|4750&0|3872&0|20&0|14419&0|7389&0|9241&1|15496&0
11553&0|10351&0|6803&0|5292&1|6590&0|13025&1|31903&0|31965&0|3841&0|5309&0|25797&0|12083&0;4417&0|32014&0|6968&0|3260&0;11553&0|10351&0|6803&0|5292&1|6590&0|13025&1|31903&0|31965&0|3841&0|5309&0|25797&0|12083&0|4417&0|32014&0|6968&0|3260&0
21983&0|2601&0|24969&0|7870&0|17724&0|24968&0|24858&0|21996&0|24891&0|23438&0|878&0|10448&0;8262&0|24942&0|23032&0|24943&0;21983&0|2601&0|24969&0|7870&0|17724&0|24968&0|24858&0|21996&0|24891&0|23438&0|878&0|10448&0|8262&0|24942&0|23032&0|24943&0
688&0|457&0|369&0|261&0|724&0|655&0|767&0|596&0|500&0|443&0|540&0|509&0;898&0|846&0|882&0|805&0;688&0|457&0|369&0|261&0|724&0|655&0|767&0|596&0|500&0|443&0|540&0|509&0|898&0|846&0|882&0|805&0
23359&0|784&0|7653&0|23365&0|20850&0|715&0|23306&0|1293&0|11883&0|21494&0|13207&0|6364&0;17731&0|2085&0|13492&0|21994&0;23359&0|784&0|7653&0|23365&0|20850&0|715&0|23306&0|1293&0|11883&0|21494&0|13207&0|6364&0|17731&0|2085&0|13492&0|21994&0
9287&0|3831&0|12355&0|3671&0|30801&0|30791&0|2933&0|11419&0|916&0|8684&0|1077&0|30718&0;6480&0|3778&0|15397&0|30831&0;9287&0|3831&0|12355&0|3671&0|30801&0|30791&0|2933&0|11419&0|916&0|8684&0|1077&0|30718&0|6480&0|3778&0|15397&0|30831&0
13441&1|13431&0|10202&0|3816&0|3814&0|793&0|13430&0|7770&0|13451&0|784&0|13445&0|10905&0;3830&0|1279&0|3617&0|2060&0;13441&1|13431&0|10202&0|3816&0|3814&0|793&0|13430&0|7770&0|13451&0|784&0|13445&0|10905&0|3830&0|1279&0|3617&0|2060&0
2001&0|6390&0|15445&1|15451&0|932&0|15342&0|15455&1|15446&0|4746&0|3812&0|15463&0|8353&0;4169&0|7111&0|15483&1|15496&0;2001&0|6390&0|15445&1|15451&0|932&0|15342&0|15455&1|15446&0|4746&0|3812&0|15463&0|8353&0|4169&0|7111&0|15483&1|15496&0
27738&0|6486&0|27739&0|2438&0|5980&0|27731&0|2220&0|7371&0|27742&0|27719&0|20&0|27745&0;27724&0|21693&0|1082&0|779&0;27738&0|6486&0|27739&0|2438&0|5980&0|27731&0|2220&0|7371&0|27742&0|27719&0|20&0|27745&0|27724&0|21693&0|1082&0|779&0
5750&0|5748&0|5746&0|2026&0|5765&0|3420&0|5773&0|5752&0|5738&0|784&0|1817&0|2071&0;4633&0|3723&0|5784&0|5780&0;5750&0|5748&0|5746&0|2026&0|5765&0|3420&0|5773&0|5752&0|5738&0|784&0|1817&0|2071&0|4633&0|3723&0|5784&0|5780&0
7384&0|54&1|14299&1|4273&0|99&0|3892&0|566&0|11721&1|14360&1|9865&0|58&0|18901&0;209&0|206&1|5792&0|177&0;7384&0|54&1|14299&1|4273&0|99&0|3892&0|566&0|11721&1|14360&1|9865&0|58&0|18901&0|209&0|206&1|5792&0|177&0
7883&0|7898&0|546&0|7556&0|1529&0|6652&0|945&0|8096&0|7999&0|8127&0|8036&0|8076&0;8254&0|1074&0|8344&0|8319&0;7883&0|7898&0|546&0|7556&0|1529&0|6652&0|945&0|8096&0|7999&0|8127&0|8036&0|8076&0|8254&0|1074&0|8344&0|8319&0
